itemname	itemprice	size	brand
"אשל מהדרין 4.5% 200 מ""ל"	1.97		
באגט	5.9		
באגט צרפתי+חמאת שום 350ג	13.9		
באגט רוסטיק 280 גרם	10.9		
באדוויזר לאגר פחית 500מל	10.9		
באדי מעדן תות 3% 500 גרם	10.1		
באדי תות 3% 125 גרם	3.7		
באונטי חטיף בודד 57 גרם	6.9		
באונטי מיני 333 גרם	29.9		
"באזז קוקטייל 750 מ""ל"	35.9		
באן מאפה מאודה	17.9		
בגט 300 גרם	5.9		
בגט גרעינים ללא גלוטן240	16.5		
בגט עם ציה ללא גלוטן240ג	16.5		
בגט רוסטיק לבן 280ג	10.9		
בדי בדיקה יהודית	9.0		
בדין אקסטר.בייבי כחול960	16.9		
בדין אקסטרה זר הרמוני960	16.9		
בדין אקסטרה סחלב פראי960	16.9		
בדין אקסטרה ריח פינוק960	16.9		
בדין מרכך אלגנטיק 960מל	16.9		
